honestamente,honestly,Adv,,,
la limpieza,"cleanliness, cleaning",N,f,,
"interno, interna","prisoner, internal, patient",Adj,,,
el lago,lake,N,m,,
prometer,to promise,V,,,
la guitarra,"guitar, guitarfish",N,f,,
callar,"<ul>  <li>to be silent, shut up</li>  <li>to hush, become silent, hush, make silent</li>  <li>to calm, not mention</li>  <li>to keep silent</li></ul>",V,,,"calmar, tranquilizar"
el ambo, suit,N,m,,
el champán,champan,N,m,,
molestar,"<ul>  <li>to annoy, tease, pester, bug, hassle</li>  <li>to bother (to, en), intrude</li>  <li>to get upset, bother, disturb, trouble, impose, inconvenience, burden</li>  <li>to mind, upset, discomfort</li></ul>",V,,,"fastidiar, fregar, joder, jorobar"
"equívoco, equívoca","error, ambiguous; equivocal, erroneous",Adj,,,
"enano, enana","dwarf, midget, pygmy, dwarf, dwarf, pygmy",Adj,,,
la forma,"basis; method, way; manner, shape; form; figure",N,f,,
desconocer,"to ignore, disregard, not be familiar with, not know, not recognize",V,,,
la secuencia,sequence,N,f,,
sospechar,"to be on, suspect",V,,,
sincronizar," to synchronize, to sync",V,,transitive,
la broma,"<ul>  <li>joke, prank, practical joke, banter</li>  <li>shipworm</li></ul>",N,f,,"burla, chiste, diablura, guasa, mofa"
completar, to complete,V,,transitive,
cual,"<ul>  <li>like, as, in the manner of</li>  <li>suchlike, like (which), such as</li></ul>",Adv,,,
el ciento,"hundred, hundreds (an indefinite number consisting of several hundred)",N,m,,
el sistema,"<ul>  <li>system, regime, system, the establishment</li>  <li>scheme</li></ul>",N,m,,
el baile,"dance, ball",N,m,,
la hamburguesa,"<ul>  <li>hamburger, feminine singular of hamburgués</li>  <li>female equivalent of hamburgués; Hamburger</li></ul>",N,f,,
mentir,to lie ,V,,,
la guerra,"war, warfare",N,f,,"conflicto bélico, choque, combate, conflagración, conflicto"
notar,"<ul>  <li>to note (make a written record of and/or purposefully commit memory)</li>  <li>to show, be noticed, become obvious</li></ul>",V,,transitive,
la embajada,embassy,N,f,,
móvil,"<ul>  <li>cellular, cell phone (US), mobile phone (UK, Australia)</li>  <li>mobile, motive</li></ul>",Adj,,,
el infarto,"heart attack, myocardial infarction, infarct",N,m,,"ataque cardíaco, ataque cardiaco, ataque al corazón"
"secundario, secundaria",secondary,Adj,,,
secuestrar,"<ul>  <li>to hijack, sequester, seize</li>  <li>to kidnap, abduct</li></ul>",V,,,
el sheriff,sheriff ,N,m,,
la profesora,female equivalent of profesor ,N,f,“teacher”,
el socio,"buddy, mate, partner, member",N,m,,
la pizza,pizza,N,f,,
la alteza,"height, stature, highness, Highness",N,f,,
celular,"<ul>  <li>cell phone (US), mobile phone (UK, Australia)</li>  <li>cellular</li></ul>",Adj,,,
interrumpir,"<ul>  <li>to stop, discontinue, suspend</li>  <li>to break, break off, halt, cease</li>  <li>to cut short, cut off, block</li>  <li>to interrupt, barge in, disrupt, disturb, intrude, cut in, break in, butt in</li>  <li>to heckle</li></ul>",V,,,
el garaje,garage ,N,m,,
el zapato,shoe,N,m,,
salvaje,"savage, feral, uncivilized, savage, wild, savage (untamed, not domesticated)",Adj,,,
significar,"<ul>  <li>to mean, speak out, assert (to voice one's opinion)</li>  <li>to stand out, signify</li></ul>",V,,,
mate,matte ,Adj,,,
la probabilidad,"likelihood, probability, chance",N,f,,
el plan,"mood, intention, scheme, plan",N,m,,"régimen, sistema"
"sagrado, sagrada","holy, sacred",Adj,,,
la serpiente,"snake, snake, serpent, a large or medium-sized snake",N,f,specifically,"culebra,  sierpe"
la caridad,charity,N,f,,
la persecución,"paranoia, persecution complex, persecution, chase",N,f,,
total,"total, total, complete, outright, basically, so, in short (used to summarise)",Adj,,,
cazador,"<ul>  <li>light infantryman, light cavalryman, rifleman</li>  <li>hunting, hunter</li></ul>",Adj,,,
adorable,"<ul>  <li>lovable, loveable, cuddly, cute, sweet, dear, endearing</li>  <li>adorable</li></ul>",Adj,,,
la maravilla,"<ul>  <li>sunflower, wonder, marvel, marigold, sunflower seed</li>  <li>four o'clock flower</li></ul>",N,f,,
la habilidad,"ability, skill",N,f,,
la porquería,"<ul>  <li>crap, trash, filth, junk, rubbish</li>  <li>nonsense</li></ul>",N,f,,
la pesadilla,"bane, nightmare",N,f,,
